Def Front,Stunts,Blitz,Coverage,Peel,Coverage Type,StuntDict,BlitzDict
30,A,BLUNT,2CLOUD,PL,LOOSE,"{'A': 'IN', 'A STR BANG': 'IN', 'A/WK BNG': 'IN', 'ATT': 'CB D or OUT', 'ATT/KN': 'OUT', 'ITAL': 'CASH or IN', 'KN': 'OUT or RS D', 'NATTY': 'CB D or RS D', 'PINCH': 'OUT', 'RAT/NS': 'OUT', 'RAT/QK': 'CASH or OUT', 'RUN': 'CB D', 'RUN/ATT': 'CB D', 'RUN/KN': 'CB/RS D or RS D', 'ST BNG': 'IN', 'SWEEP': 'CB D', 'TAR': 'OUT', 'TAR/NS': 'CASH or IN or OUT or OUT SW RPO', 'TAXI': 'CB D', 'WK BNG': 'BANDIT or IN', 'pi rev': 'OUT', 'sqz': 'OUT or jk', 'stack': 'jk', 'TAR/NOSE':'OUT'}","{'BUSTER': 'BANDIT', 'CHIP': 'BANDIT', 'FREAK': 'CB/RS D', 'FULL': 'GAP', 'HAMMER': 'RS D', 'JAR': '30 STR', 'JET': 'CB D', 'MILF': 'BANDIT', 'MOB': 'BANDIT', 'MOW': 'EVEN', 'MOW F': 'EVEN', 'MOW POP': 'EVEN', 'MYSTICAL': 'MUDDLE', 'OUTL': 'EVEN or EVEN STING', 'RAW': 'CB D or RS D', 'SAW': 'BANDIT', 'SAW POP': 'BANDIT', 'SMOKE': 50, 'SMURF': 'BANDIT', 'ST/WK': 'BANDIT', 'STING': 'EVEN', 'WAFFLE': 'BANDIT', 'WEASEL': 50, 'HAM': 'RS'}"
50,A/WK BNG,BUSTER,2FLIP,PE,MUG,,
30 STR,ATT,BUSTER,BINGO,PEEL,OFF,,
30 WK,ATT/KN,CHIP,BLK,,PR,,
50 W,ATT/KN/WK BNG,FREAK,BLK PL,,,,
50 W WK,DB BNG,FULL,BRACK,,,,
BANDIT,ITAL,HAM,BRACK SW,,,,
CB,KN,HAM CRIS,COMBO,,,,
CB D,KN/ST BNG,JAR,DEUCES,,,,
CB/RS D,MIX,JET,GRN,,,,
EVEN,NATTY,JET/HAM,HALO,,,,
IN,NS,MILF,HALO CUT,,,,
JK,PINCH,MOB,HALO PIP,,,,
MUD,QK,MOW,HOLD,,,,
OUT,RAT,MOW FIRE,HOLD CHK,,,,
RS,RAT/NS,MOW POP,HOLD M,,,,
RS D,RAT/QK,MYST,ORANGE,,,,
STOP,RAT/WIN,OUTL,RED,,,,
TRIO,RUN,OUTL BM,RED CHK,,,,
GAP,RUN/ATT,PSYCHO,RED M,,,,
JK,RUN/KN,RACKS ST,RED M SW,,,,
JK WK,SCREAM,RACKS WK,ROT SW,,,,
JK ST,ST BNG,RAW,ROTATE,,,,
JOK,ST BNG/ATT,SAW,SAND,,,,
JOK ST,STF,SAW POP,SND S M,,,,
JOKER,SWEEP,SLAM,SNI ROB,,,,
JOK WK,TAR,SMOKE,SNI S M,,,,
JOKER ST,TAR/MIX,SMURF,SNIFF,,,,
JOKER WK,TAR/NS,SMURF RPO,TEFF,,,,
UNDER,TAR/QK,ST/WK,TEFF M,,,,
OVER,TAXI,STACK,TOONIE,,,,
,WAT,STING,TUFF,,,,
,WEEP,STING POP,WHT,,,,
,WIN,STINGER,YEL,,,,
,WK BNG,STRIKE,YEL LV,,,,
,BANA,WAFFLE,YEL SW,,,,
,R,WAR,ZORRO,,,,
,APPLE,WASP,ZORRO PL,,,,
,TAR/NOSE,WASP FIRE,BLACK,,,,
,A/K,WEASEL,SN S M,,,,
,RENT,WIFF,RED BAM,,,,
,,WILLY,2 FLIP,,,,
,,MOW F,BANJO,,,,
,,MUD MAN,BINGO,,,,
,,,PIPES,,,,
,,,SPIN BLACK,,,,
,,,SPIN,,,,
,,,CLEVAGE,,,,
,,,SNAKE,,,,
,,,CAT,,,,
,,,JET/HAM,,,,
,,,CLV,,,,
,,,SNIFF SAM MATCH,,,,